Date,Adj Close
4/2/2018,167.733215
1/1/2018,173.619904
10/2/2017,153.523361
7/3/2017,141.973053
4/3/2017,140.565704
1/2/2017,115.128761
9/26/2016,109.81955
6/27/2016,92.64801
3/28/2016,105.628189
12/28/2015,100.540207
9/28/2015,104.981232
6/29/2015,119.713867
3/30/2015,118.159889
12/29/2014,102.67823
9/29/2014,93.155067
6/30/2014,87.49263
3/31/2014,67.943726
12/30/2013,66.235268
9/30/2013,56.737148
7/1/2013,46.779251
4/1/2013,45.243996
12/31/2012,54.055988
10/1/2012,64.807739
7/2/2012,58.368416
4/2/2012,61.04657
1/2/2012,40.692574
9/26/2011,36.735069
6/27/2011,33.068497
3/28/2011,33.193729
12/27/2010,31.074341
9/27/2010,27.217014
6/28/2010,23.789358
3/29/2010,22.732544
12/28/2009,20.301006
9/28/2009,17.812639
6/29/2009,13.48905
3/30/2009,11.174079
12/29/2008,8.742546
